listing_id,date,available,price
241032,01-12-16,t,$85.00 
241032,02-12-16,t,$85.00 
241032,03-12-16,t,$85.00 
241032,04-12-16,t,$85.00 
241032,05-12-16,t,$85.00 
241032,06-12-16,t,$85.00 
241032,07-12-16,t,$85.00 
241032,08-12-16,t,$85.00 
241032,09-12-16,t,$85.00 
241032,10-12-16,t,$85.00 
241032,11-12-16,t,$85.00 
241032,12-12-16,t,$85.00 
241032,13-12-16,t,$85.00 
241032,14-12-16,t,$85.00 
241032,15-12-16,t,$85.00 
241032,16-12-16,t,$85.00 
241032,17-12-16,t,$85.00 
241032,18-12-16,t,$85.00 
241032,19-12-16,t,$85.00 
241032,20-12-16,t,$85.00 
241032,21-12-16,t,$85.00 
241032,22-12-16,t,$85.00 
241032,23-12-16,t,$85.00 
241032,24-12-16,t,$85.00 
241032,25-12-16,t,$85.00 
241032,26-12-16,t,$85.00 
241032,27-12-16,t,$85.00 
241032,28-12-16,t,$85.00 
241032,29-12-16,t,$85.00 
241032,30-12-16,t,$85.00 
241032,31-12-16,t,$85.00 
241032,01-01-17,t,$85.00 
241032,02-01-17,t,$85.00 
953595,01-12-16,t,$131.00 
953595,02-12-16,t,$171.00 
953595,03-12-16,t,$127.00 
953595,04-12-16,t,$186.00 
953595,05-12-16,t,$133.00 
953595,06-12-16,t,$134.00 
953595,07-12-16,t,$148.00 
953595,08-12-16,t,$162.00 
953595,09-12-16,t,$178.00 
953595,10-12-16,t,$157.00 
953595,11-12-16,t,$157.00 
953595,12-12-16,t,$158.00 
953595,13-12-16,t,$181.00 
953595,14-12-16,t,$189.00 
953595,15-12-16,t,$220.00 
953595,16-12-16,t,$222.00 
953595,17-12-16,t,$223.00 
953595,18-12-16,t,$232.00 
953595,19-12-16,t,$217.00 
953595,20-12-16,t,$203.00 
953595,21-12-16,t,$188.00 
953595,22-12-16,t,$172.00 
953595,23-12-16,t,$217.00 
953595,24-12-16,t,$204.00 
953595,25-12-16,t,$222.00 
953595,26-12-16,t,$186.00 
953595,27-12-16,t,$177.00 
953595,28-12-16,t,$188.00 
953595,29-12-16,t,$229.00 
953595,30-12-16,t,$294.00 
953595,31-12-16,t,$358.00 
953595,01-01-17,t,$439.00 
953595,02-01-17,t,$400.00 
3308979,01-12-16,t,"$1,650.00 "
3308979,02-12-16,t,"$1,650.00 "
3308979,03-12-16,t,"$1,650.00 "
3308979,04-12-16,t,"$1,650.00 "
3308979,05-12-16,t,"$1,650.00 "
3308979,06-12-16,t,"$1,650.00 "
3308979,07-12-16,t,"$1,650.00 "
3308979,08-12-16,t,"$1,650.00 "
3308979,09-12-16,t,"$1,650.00 "
3308979,10-12-16,t,"$1,650.00 "
3308979,11-12-16,t,"$1,650.00 "
3308979,12-12-16,t,"$1,650.00 "
3308979,13-12-16,t,"$1,650.00 "
3308979,14-12-16,t,"$1,650.00 "
3308979,15-12-16,t,"$1,650.00 "
3308979,16-12-16,t,"$1,650.00 "
3308979,17-12-16,t,"$1,650.00 "
3308979,18-12-16,t,"$1,650.00 "
3308979,19-12-16,t,"$1,650.00 "
3308979,20-12-16,t,"$1,650.00 "
3308979,21-12-16,t,"$1,650.00 "
3308979,22-12-16,t,"$1,650.00 "
3308979,23-12-16,t,"$1,650.00 "
3308979,24-12-16,t,"$1,650.00 "
3308979,25-12-16,t,"$1,650.00 "
3308979,26-12-16,t,"$1,650.00 "
3308979,27-12-16,t,"$1,650.00 "
3308979,28-12-16,t,"$1,650.00 "
3308979,29-12-16,t,"$1,650.00 "
3308979,30-12-16,t,"$1,650.00 "
3308979,31-12-16,t,"$1,650.00 "
3308979,01-01-17,t,$975.00 
3308979,02-01-17,t,$975.00 
7421966,01-12-16,t,$100.00 
7421966,02-12-16,t,$100.00 
7421966,03-12-16,t,$100.00 
7421966,04-12-16,t,$100.00 
7421966,05-12-16,t,$100.00 
7421966,06-12-16,t,$100.00 
7421966,07-12-16,t,$100.00 
